Angle;Sin;Cos;Tan
0;0.00;1.00;0.00
1;0.02;1.00;0.02
2;0.03;1.00;0.03
3;0.05;1.00;0.05
4;0.07;1.00;0.07
5;0.09;1.00;0.09
6;0.10;0.99;0.11
7;0.12;0.99;0.12
8;0.14;0.99;0.14
9;0.16;0.99;0.16
10;0.17;0.98;0.18
11;0.19;0.98;0.19
12;0.21;0.98;0.21
13;0.22;0.97;0.23
14;0.24;0.97;0.25
15;0.26;0.97;0.27
16;0.28;0.96;0.29
17;0.29;0.96;0.31
18;0.31;0.95;0.32
19;0.33;0.95;0.34
20;0.34;0.94;0.36
21;0.36;0.93;0.38
22;0.37;0.93;0.40
23;0.39;0.92;0.42
24;0.41;0.91;0.45
25;0.42;0.91;0.47
26;0.44;0.90;0.49
27;0.45;0.89;0.51
28;0.47;0.88;0.53
29;0.48;0.87;0.55
30;0.50;0.87;0.58
31;0.52;0.86;0.60
32;0.53;0.85;0.62
33;0.54;0.84;0.65
34;0.56;0.83;0.67
35;0.57;0.82;0.70
36;0.59;0.81;0.73
37;0.60;0.80;0.75
38;0.62;0.79;0.78
39;0.63;0.78;0.81
40;0.64;0.77;0.84
41;0.66;0.75;0.87
42;0.67;0.74;0.90
43;0.68;0.73;0.93
44;0.69;0.72;0.97
45;0.71;0.71;1.00
46;0.72;0.69;1.04
47;0.73;0.68;1.07
48;0.74;0.67;1.11
49;0.75;0.66;1.15
50;0.77;0.64;1.19
51;0.78;0.63;1.23
52;0.79;0.62;1.28
53;0.80;0.60;1.33
54;0.81;0.59;1.38
55;0.82;0.57;1.43
56;0.83;0.56;1.48
57;0.84;0.54;1.54
58;0.85;0.53;1.60
59;0.86;0.52;1.66
60;0.87;0.50;1.73
61;0.87;0.48;1.80
62;0.88;0.47;1.88
63;0.89;0.45;1.96
64;0.90;0.44;2.05
65;0.91;0.42;2.14
66;0.91;0.41;2.25
67;0.92;0.39;2.36
68;0.93;0.37;2.48
69;0.93;0.36;2.61
70;0.94;0.34;2.75
71;0.95;0.33;2.90
72;0.95;0.31;3.08
73;0.96;0.29;3.27
74;0.96;0.28;3.49
75;0.97;0.26;3.73
76;0.97;0.24;4.01
77;0.97;0.22;4.33
78;0.98;0.21;4.70
79;0.98;0.19;5.14
80;0.98;0.17;5.67
81;0.99;0.16;6.31
82;0.99;0.14;7.12
83;0.99;0.12;8.14
84;0.99;0.10;9.51
85;1.00;0.09;11.43
86;1.00;0.07;14.30
87;1.00;0.05;19.08
88;1.00;0.03;28.64
89;1.00;0.02;57.29
90;1.00;0.00;16331239353195370.00
91;1.00;-0.02;-57.29
92;1.00;-0.03;-28.64
93;1.00;-0.05;-19.08
94;1.00;-0.07;-14.30
95;1.00;-0.09;-11.43
96;0.99;-0.10;-9.51
97;0.99;-0.12;-8.14
98;0.99;-0.14;-7.12
99;0.99;-0.16;-6.31
100;0.98;-0.17;-5.67
101;0.98;-0.19;-5.14
102;0.98;-0.21;-4.70
103;0.97;-0.22;-4.33
104;0.97;-0.24;-4.01
105;0.97;-0.26;-3.73
106;0.96;-0.28;-3.49
107;0.96;-0.29;-3.27
108;0.95;-0.31;-3.08
109;0.95;-0.33;-2.90
110;0.94;-0.34;-2.75
111;0.93;-0.36;-2.61
112;0.93;-0.37;-2.48
113;0.92;-0.39;-2.36
114;0.91;-0.41;-2.25
115;0.91;-0.42;-2.14
116;0.90;-0.44;-2.05
117;0.89;-0.45;-1.96
118;0.88;-0.47;-1.88
119;0.87;-0.48;-1.80
120;0.87;-0.50;-1.73
121;0.86;-0.52;-1.66
122;0.85;-0.53;-1.60
123;0.84;-0.54;-1.54
124;0.83;-0.56;-1.48
125;0.82;-0.57;-1.43
126;0.81;-0.59;-1.38
127;0.80;-0.60;-1.33
128;0.79;-0.62;-1.28
129;0.78;-0.63;-1.23
130;0.77;-0.64;-1.19
131;0.75;-0.66;-1.15
132;0.74;-0.67;-1.11
133;0.73;-0.68;-1.07
134;0.72;-0.69;-1.04
135;0.71;-0.71;-1.00
136;0.69;-0.72;-0.97
137;0.68;-0.73;-0.93
138;0.67;-0.74;-0.90
139;0.66;-0.75;-0.87
140;0.64;-0.77;-0.84
141;0.63;-0.78;-0.81
142;0.62;-0.79;-0.78
143;0.60;-0.80;-0.75
144;0.59;-0.81;-0.73
145;0.57;-0.82;-0.70
146;0.56;-0.83;-0.67
147;0.54;-0.84;-0.65
148;0.53;-0.85;-0.62
149;0.52;-0.86;-0.60
150;0.50;-0.87;-0.58
151;0.48;-0.87;-0.55
152;0.47;-0.88;-0.53
153;0.45;-0.89;-0.51
154;0.44;-0.90;-0.49
155;0.42;-0.91;-0.47
156;0.41;-0.91;-0.45
157;0.39;-0.92;-0.42
158;0.37;-0.93;-0.40
159;0.36;-0.93;-0.38
160;0.34;-0.94;-0.36
161;0.33;-0.95;-0.34
162;0.31;-0.95;-0.32
163;0.29;-0.96;-0.31
164;0.28;-0.96;-0.29
165;0.26;-0.97;-0.27
166;0.24;-0.97;-0.25
167;0.22;-0.97;-0.23
168;0.21;-0.98;-0.21
169;0.19;-0.98;-0.19
170;0.17;-0.98;-0.18
171;0.16;-0.99;-0.16
172;0.14;-0.99;-0.14
173;0.12;-0.99;-0.12
174;0.10;-0.99;-0.11
175;0.09;-1.00;-0.09
176;0.07;-1.00;-0.07
177;0.05;-1.00;-0.05
178;0.03;-1.00;-0.03
179;0.02;-1.00;-0.02
180;0.00;-1.00;-0.00
181;-0.02;-1.00;0.02
182;-0.03;-1.00;0.03
183;-0.05;-1.00;0.05
184;-0.07;-1.00;0.07
185;-0.09;-1.00;0.09
186;-0.10;-0.99;0.11
187;-0.12;-0.99;0.12
188;-0.14;-0.99;0.14
189;-0.16;-0.99;0.16
190;-0.17;-0.98;0.18
191;-0.19;-0.98;0.19
192;-0.21;-0.98;0.21
193;-0.22;-0.97;0.23
194;-0.24;-0.97;0.25
195;-0.26;-0.97;0.27
196;-0.28;-0.96;0.29
197;-0.29;-0.96;0.31
198;-0.31;-0.95;0.32
199;-0.33;-0.95;0.34
200;-0.34;-0.94;0.36
201;-0.36;-0.93;0.38
202;-0.37;-0.93;0.40
203;-0.39;-0.92;0.42
204;-0.41;-0.91;0.45
205;-0.42;-0.91;0.47
206;-0.44;-0.90;0.49
207;-0.45;-0.89;0.51
208;-0.47;-0.88;0.53
209;-0.48;-0.87;0.55
210;-0.50;-0.87;0.58
211;-0.52;-0.86;0.60
212;-0.53;-0.85;0.62
213;-0.54;-0.84;0.65
214;-0.56;-0.83;0.67
215;-0.57;-0.82;0.70
216;-0.59;-0.81;0.73
217;-0.60;-0.80;0.75
218;-0.62;-0.79;0.78
219;-0.63;-0.78;0.81
220;-0.64;-0.77;0.84
221;-0.66;-0.75;0.87
222;-0.67;-0.74;0.90
223;-0.68;-0.73;0.93
224;-0.69;-0.72;0.97
225;-0.71;-0.71;1.00
226;-0.72;-0.69;1.04
227;-0.73;-0.68;1.07
228;-0.74;-0.67;1.11
229;-0.75;-0.66;1.15
230;-0.77;-0.64;1.19
231;-0.78;-0.63;1.23
232;-0.79;-0.62;1.28
233;-0.80;-0.60;1.33
234;-0.81;-0.59;1.38
235;-0.82;-0.57;1.43
236;-0.83;-0.56;1.48
237;-0.84;-0.54;1.54
238;-0.85;-0.53;1.60
239;-0.86;-0.52;1.66
240;-0.87;-0.50;1.73
241;-0.87;-0.48;1.80
242;-0.88;-0.47;1.88
243;-0.89;-0.45;1.96
244;-0.90;-0.44;2.05
245;-0.91;-0.42;2.14
246;-0.91;-0.41;2.25
247;-0.92;-0.39;2.36
